Request_ID,E2E Chunked Blend 128_TTFT,E2E No Blend_TTFT,Speedup,Hit_Ratio,Extra_Hit_Ratio
00cbd5c64d8785c4,7.4546,3.4089,0.457288117404019,0.005329939143232171,
00fbb59e9ee2713c,1.3669,0.6949,0.5083766186260882,0.0,
0161b806d75edb5f,0.3367,0.6883,2.044253044253044,0.9626692456479691,
016745cd9a58ec8d,4.4929,2.0319,0.4522468784081551,0.015267175572519083,
01a7fa1e7884facb,5.6142,2.6009,0.46327170389369815,0.006946244362656161,
01ec337b09f9adf9,15.7983,7.6244,0.482608888298108,0.004474101833616948,
0366b230293e967b,0.4304,0.2203,0.5118494423791822,0.13,
039f2121877eeba4,2.6815,1.2163,0.4535894089129218,0.014506874526361372,
03f6e22f7c0fc43d,1.4149,0.6866,0.4852639762527387,0.0,
046423132d47965e,6.4788,4.3334,0.6688584305735631,0.010650402803695782,
04aa0aa76d927862,4.3494,2.1472,0.4936772888214467,0.008882407530160414,
057efdf1cd9b96dc,7.9103,3.6798,0.4651909535668685,0.004952324635967182,
06cf3e92a60b13f5,1.4845,0.6682,0.4501178848097003,0.03910950661853189,
073f969050190d58,1.5292,0.7813,0.51092074287209,0.0,
07bc2928b456337f,9.4831,4.4377,0.4679587898472019,0.007363816596909715,
07e46ca6b0b309ee,1.5943,0.8278,0.5192247381295866,0.0,
094e301c0cf43483,0.4245,0.8,1.8845700824499412,0.8074946111755927,
09566a2d172760d8,0.7371,0.377,0.5114638447971781,0.08530805687203792,
09614165ab2bf3c4,1.6734,0.8592,0.5134456794550017,0.0,
09d7bc07b1037178,1.6732,0.8206,0.4904374850585704,0.0,
0b3ec388fc34e5f1,9.4765,4.4404,0.46856961958529,0.00416938921559476,
0ce0df8f82bbce60,0.3168,0.6735,2.1259469696969693,0.9513221153846154,
0d421771ce2872ba,1.2604,0.327,0.25944144715963185,0.052833596748701736,
0da421ff69234c56,0.7534,0.36,0.4778338200159278,0.050585126462816155,
0ec57c0c4fbcec88,0.1583,0.4229,2.67150979153506,0.9919028340080972,
0efd2e42d1adc041,2.9975,0.6029,0.20113427856547123,0.022396630934150077,
0ff3c50e1a73babf,1.2533,0.6436,0.5135242958589323,0.0,
109b2b7a27203bf2,0.3553,0.1857,0.5226569096538137,0.16129032258064516,
111862b8d24d041a,1.983,0.9138,0.4608169440242057,0.02830188679245283,
11c46007b2fd922f,0.2845,0.1564,0.5497363796133569,0.0,
12b3ade516e7bb20,2.2799,1.0485,0.4598885916048949,0.024485183324962332,
12ca460ffa2cbd22,12.457,6.9222,0.5556875652243718,0.0056640766828843225,
13712020acfe8acb,0.831,0.4096,0.49290012033694347,0.0653485254691689,
13d91d4d4de44f41,0.3365,0.6922,2.0570579494799404,0.9645472061657033,
146b1e05c47da0b7,0.4056,0.2083,0.513560157790927,0.1425438596491228,
